gene_id	group
ENSG00000231688	RPP
ENSG00000213178	RPP
ENSG00000237483	RPP
ENSG00000235294	RPP
ENSG00000228766	RPP
ENSG00000229638	RPP
ENSG00000223803	RPP
ENSG00000232873	RPP
ENSG00000225770	RPP
ENSG00000237170	RPP
ENSG00000242358	RPP
ENSG00000215278	RPP
ENSG00000242640	RPP
ENSG00000244031	RPP
ENSG00000239627	RPP
ENSG00000240167	RPP
ENSG00000229585	RPP
ENSG00000242670	RPP
ENSG00000244422	RPP
ENSG00000242083	RPP
ENSG00000241250	RPP
ENSG00000243920	RPP
ENSG00000241261	RPP
ENSG00000225405	RPP
ENSG00000241344	RPP
ENSG00000244099	RPP
ENSG00000214062	RPP
ENSG00000214988	RPP
ENSG00000239525	RPP
ENSG00000258013	RPP
ENSG00000242936	RPP
ENSG00000242697	RPP
ENSG00000234492	RPP
ENSG00000251464	RPP
ENSG00000248439	RPP
ENSG00000241741	RPP
ENSG00000228489	RPP
ENSG00000184139	RPP
ENSG00000213448	RPP
ENSG00000241923	RPP
ENSG00000242134	RPP
ENSG00000240992	RPP
ENSG00000242635	RPP
ENSG00000227283	RPP
ENSG00000214676	RPP
ENSG00000214671	RPP
ENSG00000242882	RPP
ENSG00000261914	RPP
ENSG00000244361	RPP
ENSG00000242608	RPP
ENSG00000243538	RPP
ENSG00000240785	RPP
ENSG00000242654	RPP
ENSG00000241668	RPP
ENSG00000243914	RPP
ENSG00000241829	RPP
ENSG00000244073	RPP
ENSG00000224993	RPP
ENSG00000244621	RPP
ENSG00000251597	RPP
ENSG00000243592	RPP
ENSG00000226221	RPP
ENSG00000240412	RPP
ENSG00000213891	RPP
ENSG00000244717	RPP
ENSG00000226544	RPP
ENSG00000182383	RPP
ENSG00000244019	RPP
ENSG00000244363	RPP
ENSG00000242706	RPP
ENSG00000240003	RPP
ENSG00000240411	RPP
ENSG00000243859	RPP
ENSG00000241965	RPP
ENSG00000240083	RPP
ENSG00000243806	RPP
ENSG00000239528	RPP
ENSG00000197575	RPP
ENSG00000243758	RPP
ENSG00000249582	RPP
ENSG00000244088	RPP
ENSG00000249851	RPP
ENSG00000241458	RPP
ENSG00000242683	RPP
ENSG00000240974	RPP
ENSG00000225147	RPP
ENSG00000231579	RPP
ENSG00000241112	RPP
ENSG00000241907	RPP
ENSG00000214485	RPP
ENSG00000213433	RPP
ENSG00000254252	RPP
ENSG00000233913	RPP
ENSG00000254012	RPP
ENSG00000254200	RPP
ENSG00000253109	RPP
ENSG00000242979	RPP
ENSG00000243664	RPP
ENSG00000213285	RPP
ENSG00000212802	RPP
ENSG00000218265	RPP
ENSG00000184612	RPP
ENSG00000218643	RPP
ENSG00000174572	RPP
ENSG00000214374	RPP
ENSG00000213916	RPP
ENSG00000213900	RPP
ENSG00000231301	RPP
ENSG00000239257	RPP
ENSG00000213880	RPP
ENSG00000230449	RPP
ENSG00000227939	RPP
ENSG00000225499	RPP
ENSG00000224796	RPP
ENSG00000225644	RPP
ENSG00000204194	RPP
ENSG00000220583	RPP
ENSG00000216636	RPP
ENSG00000216412	RPP
ENSG00000181524	RPP
ENSG00000219222	RPP
ENSG00000179157	RPP
ENSG00000060303	RPP
ENSG00000217527	RPP
ENSG00000219863	RPP
ENSG00000218049	RPP
ENSG00000216347	RPP
ENSG00000216854	RPP
ENSG00000213312	RPP
ENSG00000213309	RPP
ENSG00000216365	RPP
ENSG00000235174	RPP
ENSG00000224221	RPP
ENSG00000218459	RPP
ENSG00000219722	RPP
ENSG00000219253	RPP
ENSG00000220311	RPP
ENSG00000219547	RPP
ENSG00000220069	RPP
ENSG00000214457	RPP
ENSG00000218300	RPP
ENSG00000220553	RPP
ENSG00000213183	RPP
ENSG00000219902	RPP
ENSG00000216977	RPP
ENSG00000220237	RPP
ENSG00000232778	RPP
ENSG00000225093	RPP
ENSG00000218632	RPP
ENSG00000218208	RPP
ENSG00000217089	RPP
ENSG00000219135	RPP
ENSG00000217404	RPP
ENSG00000220744	RPP
ENSG00000218689	RPP
ENSG00000219776	RPP
ENSG00000225343	RPP
ENSG00000213122	RPP
ENSG00000276703	RPP
ENSG00000230350	RPP
ENSG00000217684	RPP
ENSG00000218351	RPP
ENSG00000220848	RPP
ENSG00000219146	RPP
ENSG00000232082	RPP
ENSG00000231654	RPP
ENSG00000218716	RPP
ENSG00000219814	RPP
ENSG00000213935	RPP
ENSG00000230370	RPP
ENSG00000223445	RPP
ENSG00000235828	RPP
ENSG00000224683	RPP
ENSG00000213860	RPP
ENSG00000219451	RPP
ENSG00000234839	RPP
ENSG00000226279	RPP
ENSG00000232818	RPP
ENSG00000213787	RPP
ENSG00000213783	RPP
ENSG00000225907	RPP
ENSG00000229054	RPP
ENSG00000235379	RPP
ENSG00000224706	RPP
ENSG00000213744	RPP
ENSG00000231490	RPP
ENSG00000232612	RPP
ENSG00000225573	RPP
ENSG00000235090	RPP
ENSG00000231322	RPP
ENSG00000230853	RPP
ENSG00000227982	RPP
ENSG00000232385	RPP
ENSG00000237818	RPP
ENSG00000214389	RPP
ENSG00000214142	RPP
ENSG00000235926	RPP
ENSG00000236848	RPP
ENSG00000235354	RPP
ENSG00000231006	RPP
ENSG00000232199	RPP
ENSG00000235459	RPP
ENSG00000225918	RPP
ENSG00000225224	RPP
ENSG00000223508	RPP
ENSG00000240486	RPP
ENSG00000250752	RPP
ENSG00000228744	RPP
ENSG00000214268	RPP
ENSG00000233609	RPP
ENSG00000239315	RPP
ENSG00000242607	RPP
ENSG00000244289	RPP
ENSG00000244018	RPP
ENSG00000242709	RPP
ENSG00000243265	RPP
ENSG00000239198	RPP
ENSG00000243844	RPP
ENSG00000241511	RPP
ENSG00000253995	RPP
ENSG00000215264	RPP
ENSG00000244708	RPP
ENSG00000270865	RPP
ENSG00000239218	RPP
ENSG00000243095	RPP
ENSG00000239281	RPP
ENSG00000240395	RPP
ENSG00000188873	RPP
ENSG00000224594	RPP
ENSG00000240534	RPP
ENSG00000244159	RPP
ENSG00000241431	RPP
ENSG00000243050	RPP
ENSG00000242595	RPP
ENSG00000239261	RPP
ENSG00000253964	RPP
ENSG00000236191	RPP
ENSG00000241942	RPP
ENSG00000244295	RPP
ENSG00000240047	RPP
ENSG00000240540	RPP
ENSG00000240427	RPP
ENSG00000240509	RPP
ENSG00000244217	RPP
ENSG00000243504	RPP
ENSG00000240870	RPP
ENSG00000242399	RPP
ENSG00000212994	RPP
ENSG00000240724	RPP
ENSG00000244052	RPP
ENSG00000243601	RPP
ENSG00000243287	RPP
ENSG00000230169	RPP
ENSG00000239917	RPP
ENSG00000242206	RPP
ENSG00000239872	RPP
ENSG00000244413	RPP
ENSG00000235330	RPP
ENSG00000236594	RPP
ENSG00000206147	RPP
ENSG00000229057	RPP
ENSG00000230207	RPP
ENSG00000212829	RPP
ENSG00000223568	RPP
ENSG00000215236	RPP
ENSG00000226470	RPP
ENSG00000233278	RPP
ENSG00000235619	RPP
ENSG00000227852	RPP
ENSG00000184961	RPP
ENSG00000236801	RPP
ENSG00000229814	RPP
ENSG00000236862	RPP
ENSG00000229753	RPP
ENSG00000234637	RPP
ENSG00000228375	RPP
ENSG00000233309	RPP
ENSG00000217716	RPP
ENSG00000238172	RPP
ENSG00000231293	RPP
ENSG00000236783	RPP
ENSG00000231810	RPP
ENSG00000230734	RPP
ENSG00000235133	RPP
ENSG00000223987	RPP
ENSG00000240180	RPP
ENSG00000214015	RPP
ENSG00000225251	RPP
ENSG00000237540	RPP
ENSG00000227474	RPP
ENSG00000233318	RPP
ENSG00000226016	RPP
ENSG00000229605	RPP
ENSG00000230240	RPP
ENSG00000234335	RPP
ENSG00000233190	RPP
ENSG00000235962	RPP
ENSG00000226407	RPP
ENSG00000229235	RPP
ENSG00000215184	RPP
ENSG00000226646	RPP
ENSG00000238263	RPP
ENSG00000214089	RPP
ENSG00000228462	RPP
ENSG00000264217	RPP
ENSG00000280012	RPP
ENSG00000225482	RPP
ENSG00000228754	RPP
ENSG00000229870	RPP
ENSG00000230166	RPP
ENSG00000213657	RPP
ENSG00000226888	RPP
ENSG00000213609	RPP
ENSG00000233900	RPP
ENSG00000226448	RPP
ENSG00000225922	RPP
ENSG00000219932	RPP
ENSG00000226318	RPP
ENSG00000234806	RPP
ENSG00000226493	RPP
ENSG00000227583	RPP
ENSG00000233163	RPP
ENSG00000229197	RPP
ENSG00000230469	RPP
ENSG00000232142	RPP
ENSG00000231366	RPP
ENSG00000226701	RPP
ENSG00000213700	RPP
ENSG00000229659	RPP
ENSG00000237139	RPP
ENSG00000232437	RPP
ENSG00000227271	RPP
ENSG00000232965	RPP
ENSG00000230171	RPP
ENSG00000234319	RPP
ENSG00000233353	RPP
